location,ssid,mac,signal
Now,Happyfamily,78:8c:b5:1e:07:57,-85.5
Now,Dumptyhead_5G,c4:fb:aa:07:76:8c,-87.0
Now,Alvin_TIME,f2:a7:31:82:ca:ba,-87.0
Now,Alvin_TIME,f2:a7:31:82:ca:fa,-84.5
Now,chua,6a:22:b8:cb:59:e9,-85.5
Now,chua,a6:2a:95:b8:15:9f,-83.5
Now,chua,06:5f:67:47:36:e7,-87.0
Now,chua,62:a4:b7:c9:8c:30,-57.5
Now,chua,02:34:af:51:3b:d5,-87.0
Now,chua,02:31:92:41:dd:b4,-62.5
Now,AP21-16LJW,3a:20:28:5b:8e:80,-83.5
Now,ControlroomX2,00:5f:67:47:36:e7,-82.5
Now,dm-fan01_dmiot_22d4dc,98:f4:ab:22:d4:dd,-80.0
Now,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-73.5
Now,Tea Time_2.4G,c0:fd:84:ea:6b:2b,-92.0
Now,PY0742,a4:7c:c9:1b:19:58,-83.5
Now,Liew family,18:34:af:51:3b:d4,-88.0
Now,tplink,1c:3b:f3:58:35:3b,-88.0
Now,Teh Family_5G,a4:7c:c9:f3:c6:14,-85.5
Now,Private EIM 2.4,f8:53:29:42:b4:95,-80.0
Now,Kennethng,00:31:92:51:dd:b6,-78.5
Now,BEH_EXT,00:eb:d8:22:98:ef,-57.5
Now,BEH_EXT,00:eb:d8:22:98:ee,-56.0
Now,BEH,cc:32:e5:44:1f:f3,-77.0
Now,Lowsy@unifi,7c:8b:ca:6f:4d:0f,-73.5
Now,m&m Lee,18:34:af:2a:f8:4c,-83.5
Now,ED SPEED_2.4G,3a:20:28:e4:12:dc,-62.5
